type,symbol,exchangeId,localSymbol,description,conid,underConid,isin,cusip,currency,country,isPrimeExchId,isNewPdt,assocEntityId,fcConid
STK,14D,ASXCEN,14D,1414 DEGREES LTD,332962533,,AU0000010696,Q7133Z109,AUD,AU,,F,e3291375,1
STK,1AD,CHIXAU,1AD,ADALTA LTD,244214263,,AU0000001AD2,Q0101X107,AUD,AU,,F,e3211064,1
STK,1AE,CHIXAU,1AE,AURORA ENERGY METALS LTD,562265577,,AU0000216889,Q0679K107,AUD,AU,,F,e4786662,1
# STK,1AGNA,ASXCEN,1AGNA,ALTERRA LTD - NEW SHARES,500289931,,AU0000151508,,AUD,AU,,F,e1450936,1
STK,1AI,CHIXAU,1AI,ALGORAE PHARMACEUTICALS LTD,653030261,,AU0000296022,Q5582J170,AUD,AU,,F,e1403391,1
STK,1CG,ASX,1CG,ONE CLICK GROUP LTD,586851819,,AU0000241234,Q9336A196,AUD,AU,T,F,e3251559,1
STK,1MC,ASXCEN,1MC,MORELLA CORP LTD,533766156,,AU0000199929,Q0268Q242,AUD,AU,,F,e1442411,1
# STK,1STN,ASX,1STN,1ST GROUP LTD-NEW SHARES,546998327,,AU0000206716,,AUD,AU,T,F,e2859395,1
STK,1TT,ASXCEN,1TT,THRIVE TRIBE TECHNOLOGIES LT,628454698,,AU0000276271,Q9822D126,AUD,AU,,F,e2877138,1
STK,29M,CHIXAU,29M,29METALS LTD,500243934,,AU0000157067,Q9269W108,AUD,AU,,F,e4378630,1
STK,360,CHIXAU,360,LIFE360 INC-CDI,365587305,,AU0000045098,U5295P104,AUD,AU,,F,e3319814,1
STK,3DA,ASX,3DA,AMAERO LTD,394326267,,AU0000064578,Q02788109,AUD,AU,T,F,e3597957,1
# STK,3DANA,CHIXAU,3DANA,AMAERO LTD-EX OPTION,835039351,,AU0000432510,,AUD,AU,,F,e3597957,1
STK,3DP,CHIXAU,3DP,POINTERRA LTD,239949264,,AU0000003DP6,Q7262W109,AUD,AU,,F,e1450090,1
STK,3PL,ASXCEN,3PL,3P LEARNING LTD,163715316,,AU0000003PL9,Q9034Z105,AUD,AU,,F,e2587806,1
STK,4DS,CHIXAU,4DS,4DS MEMORY LTD,215173815,,AU0000004DS8,Q3946R103,AUD,AU,,F,e1619066,1
STK,4DX,ASXCEN,4DX,4DMEDICAL LTD,438643351,,AU0000095416,Q3927K101,AUD,AU,,F,e3945860,1
STK,5EA,ASXCEN,5EA,5E ADVANCED MATERIALS IN-CDI,541682739,,AU0000186207,U3380E100,AUD,AU,,F,e4652692,1
STK,5GG,CHIXAU,5GG,PENTANET LTD,468407914,,AU0000129496,Q7S80B105,AUD,AU,,F,e4181670,1
STK,5GN,CHIXAU,5GN,5G NETWORKS LTD,676111504,,AU0000317554,Q9570P131,AUD,AU,,F,e1442533,1
STK,88E,ASX,88E,88 ENERGY LTD,185890180,,AU00000088E2,Q3394D101,AUD,AU,T,F,e1438854,1
