Rank , Code , Company, Price , 1 Day , 1 Month , 1 Year , Sector , Mkt Cap
2192, 10X, Exultant Mining Ltd, $0.17, 0.00%, -15.00%, -15.00%, Materials, $4.61M
2029, 14D, 1414 Degrees Ltd, $0.021, 0.00%, -12.50%, -22.22%, Industrials, $7.81M
2069, 1AD, Adalta Ltd, $0.003, 0.00%, -25.00%, -76.19%, Health Care, $6.89M
1768, 1AE, Aurora Energy Metals Ltd, $0.088, 0.00%, -7.37%, +100.00%, Materials, $15.76M
1602, 1AI, Algorae Pharmaceuticals Ltd, $0.014, +7.69%, +16.67%, +133.33%, Health Care, $23.64M
1832, 1CG, One Click Group Ltd, $0.01, -9.09%, 0.00%, 0.00%, Industrials, $13.07M
1690, 1GOV, Vaneck 1-5 Year Australian Government Bond ETF, $51.32, +0.10%, -0.98%, +0.47%, Financials, $19.5M
1852, 1MC, Morella Corporation Ltd, $0.034, 0.00%, 0.00%, +21.43%, Materials, $12.53M
2310, 1TT, Thrive Tribe Technologies Ltd, $0.001, -33.33%, -66.67%, -97.38%, Information Technology, $609.46K
2145, 28BB, Betashares 2028 Fixed Term Corp Bond Active ETF, $24.90, 0.00%, -0.68%, -0.60%, Financials, $5.48M
2244, 29BB, Betashares 2029 Fixed Term Corp Bond Active ETF, $24.80, 0.00%, -0.92%, -0.76%, Financials, $3.47M
419, 29M, 29METALS Ltd, $0.60, +3.45%, +62.16%, +150.00%, Materials, $823.4M
1785, 30BB, Betashares 2030 Fixed Term Corp Bond Active ETF, $24.83, +0.08%, -1.12%, -0.76%, Financials, $14.9M
118, 360, LIFE360 Inc, $33.22, -1.57%, -9.01%, +49.24%, Information Technology, $5.75B
765, 3DA, Amaero Ltd, $0.255, +2.00%, +13.33%, 0.00%, Industrials, $242.8M
1507, 3DP, Pointerra Ltd, $0.038, 0.00%, -5.00%, -2.56%, Information Technology, $30.59M
886, 3PL, 3P Learning Ltd, $0.60, 0.00%, 0.00%, -28.99%, Consumer Discretionary, $163.74M
1584, 4DS, 4DS Memory Ltd, $0.012, +9.09%, +20.00%, -73.91%, Information Technology, $24.73M
233, 4DX, 4DMEDICAL Ltd, $3.83, +4.93%, +168.77%, +760.67%, Health Care, $2.01B
2014, 5EA, 5E Advanced Materials Inc, $0.52, -8.77%, -20.61%, -69.03%, Materials, $8.1M
2010, 5GG, Pentanet Ltd, $0.019, -5.00%, -20.83%, -36.67%, Communication Services, $8.23M
1429, 5GN, 5G Networks Ltd, $0.135, 0.00%, -3.57%, -20.59%, Information Technology, $36.46M
1114, 5GOV, Vaneck 5-10 Year Australian Government Bond ETF, $51.89, +0.14%, -1.63%, +1.09%, Financials, $84.09M
936, 6KA, 6K Additive, Inc, $0.805, -0.62%, -19.50%, -19.50%, Materials, $139.8M
1562, 88E, 88 Energy Ltd, $0.023, +4.55%, +9.52%, -54.00%, Energy, $26.62M
2048, 8CO, 8COMMON Ltd, $0.033, +6.45%, +26.92%, +3.13%, Information Technology, $7.4M
2122, 8IH, 8I Holdings Ltd, $0.017, 0.00%, +6.25%, +70.00%, Financials, $5.92M
877, A11, Atlantic Lithium Ltd, $0.225, +2.27%, +2.27%, -23.73%, Materials, $168.47M
641, A1G, African Gold Ltd, $0.655, +0.77%, +111.29%, +1210.00%, Materials, $361.51M
578, A1M, Aic Mines Ltd, $0.56, 0.00%, +25.84%, +75.00%, Materials, $446.67M
993, A1N, Arn Media Ltd, $0.38, -1.30%, -19.15%, -46.85%, Communication Services, $118.96M
69, A200, Betashares Australia 200 ETF, $146.65, -0.46%, +4.06%, +6.37%, Financials, $8.69B
93, A2M, The a2 Milk Company Ltd, $9.25, +0.22%, -1.18%, +58.66%, Consumer Staples, $6.71B
1981, A300, Global X Australia 300 ETF, $51.07, -0.55%, +3.86%, +0.10%, Financials, $9.19M
1598, A3D, Aurora Labs Ltd, $0.047, -4.08%, +2.17%, -40.51%, Industrials, $23.91M
414, A4N, Alpha Hpa Ltd, $0.74, -0.67%, +2.78%, -12.94%, Materials, $844.55M
2190, A8G, Australasian Metals Ltd, $0.08, +1.27%, -6.98%, +2.56%, Materials, $4.63M
2044, AA2, Ariana Resources Plc, $0.29, +3.57%, +7.41%, +3.57%, Materials, $7.55M
130, AAA, Betashares Australian High Interest Cash ETF, $50.22, +0.02%, +0.08%, -0.08%, Financials, $4.74B
407, AAC, Australian Agricultural Company Ltd, $1.435, -1.03%, -0.35%, +2.14%, Consumer Staples, $864.97M
